Budget,Gross,Release Date,Runtime,Rating,Rating Count,Net Profit,ROI,Genre_Frequency,MPAA Rating_G,MPAA Rating_PG,MPAA Rating_PG-13,MPAA Rating_R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_Thriller,Genre_War,Genre_Western
-1.1070679691622403,476684675.0,11,-0.6531188817618466,0.7760710419063609,0.25076861546752105,458684675.0,25.482481944444444,0.0552268244575936,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.0732832545787032,138700000.0,5,-0.33987752574556146,-1.0331908493723025,-0.9465340034431418,118700000.0,5.935,0.1854043392504931,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.0732832545787032,61276872.0,11,-0.47412382118111224,1.002228778316194,-0.5288719237895658,41276872.0,2.0638436,0.1104536489151873,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.0732832545787032,53000000.0,12,-0.5636213514714795,1.1153076465211111,0.2739108498952625,33000000.0,1.65,0.1104536489151873,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.0394985399951664,505000000.0,7,0.42085148172255976,0.09759783267686235,-0.48407353694728034,483000000.0,21.954545454545453,0.0650887573964497,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.0394985399951664,221303188.0,7,0.42085148172255976,-0.015481035528053737,-0.9538151702300258,199303188.0,9.059235818181818,0.0315581854043392,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.0394985399951664,424208848.0,11,2.8372847995624744,1.2283865147260271,-0.3516598191046872,402208848.0,18.28222036363636,0.009861932938856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.9719291108280924,61489265.0,8,-0.11613370001964346,-0.354717640142804,-0.8235194367951307,35489265.0,1.3649717307692308,0.0177514792899408,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.9043596816610184,199200000.0,3,0.7340928377388449,0.7760710419063609,-0.5343780481717973,169200000.0,5.64,0.0650887573964497,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.7692208233268706,153518974.0,6,-1.0111090029233154,-1.1462697175772185,-0.950700113702362,115518974.0,3.039973,0.1499013806706114,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7354361087433335,244527583.0,5,0.018112595415907345,0.5499133054965287,0.10844768420361159,204527583.0,5.113189575,0.0552268244575936,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.6171896077009542,103738726.0,6,-0.6531188817618466,-0.9201119811673865,-0.8928794569110963,56738726.0,1.207206936170213,0.0315581854043392,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.49894310665857483,136766062.0,12,1.9870582618039858,0.7760710419063609,-0.010362667518174138,82766062.0,1.5327048518518518,0.1104536489151873,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.3975889629079639,157920733.0,6,-0.47412382118111224,-1.0331908493723025,-0.8314769614213547,97920733.0,1.6320122166666666,0.0512820512820512,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.31312717644912147,261317921.0,6,-0.20563123031001065,0.6629921737014448,-0.1671189167991682,196317921.0,3.020275707692308,0.0611439842209073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.22866538999027905,240031094.0,7,0.28660518628700893,0.3237555690866955,-0.05606604020182984,170031094.0,2.4290156285714284,0.0650887573964497,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.2253144702046197,119418501.0,12,0.5550977771581106,0.889149910111278,-0.8669016001803947,108418501.0,9.856227363636364,0.1854043392504931,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.0901756118704717,272742922.0,2,0.06286136056109094,1.9068597239555256,2.639013549287918,253742922.0,13.354890631578948,0.0315581854043392,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.0901756118704717,174999005.0,2,-0.8321139423425811,-0.8070331129624694,-0.9178284876326611,155999005.0,8.21047394736842,0.1104536489151873,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.0732832545787032,89325780.0,12,-0.5636213514714795,-0.4677965083477201,-0.8610811122953714,69325780.0,3.466289,0.0512820512820512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1.0226061827033979,86900000.0,6,-1.4585966543751514,-0.4677965083477201,-0.8610811122953714,63900000.0,2.7782608695652176,0.1104536489151873,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.9888214681198608,78600000.0,3,-1.3243503589396006,1.2283865147260271,0.19677112693243,53600000.0,2.144,0.1499013806706114,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9888214681198608,377350553.0,11,-1.503345419520335,1.2283865147260271,0.19677112693243,352350553.0,14.09402212,0.1242603550295858,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9719291108280924,181096164.0,7,-1.503345419520335,-0.12855990373297083,-0.7691504277567404,155096164.0,5.965237076923077,0.1854043392504931,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.9550367535363239,179033791.0,6,-0.25037999545519424,-0.2416387719378869,-0.9219215639467883,152033791.0,5.630881148148148,0.1854043392504931,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.9550367535363239,96900000.0,12,-0.20563123031001065,0.3237555690866955,-0.8554924278012955,69900000.0,2.588888888888889,0.0611439842209073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.9043596816610184,191502426.0,11,-0.8321139423425811,-0.015481035528053737,-0.6866442975240282,161502426.0,5.3834142,0.1854043392504931,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.9043596816610184,74787599.0,12,0.6445953074484777,-0.2416387719378869,-1.0179707279108832,44787599.0,1.4929199666666666,0.0512820512820512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.819897895202176,63710000.0,5,-0.7873651771973975,0.09759783267686235,-0.8786378376179541,28710000.0,0.8202857142857143,0.1854043392504931,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.819897895202176,182300000.0,11,0.4656002468677434,0.4368344372916116,-0.5652301268902299,147300000.0,4.208571428571428,0.0315581854043392,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.7354361087433335,205405498.0,12,3.195274920723943,1.2283865147260271,-0.643398675862199,165405498.0,4.13513745,0.1104536489151873,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.6002972504091857,390493908.0,6,1.1368317240454973,-0.015481035528053737,-0.5290910256248449,342493908.0,7.13528975,0.0512820512820512,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.22866538999027905,300854823.0,12,1.181580489190681,-0.12855990373297083,-0.372626912124223,230854823.0,3.297926042857142,0.0552268244575936,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.14420360353143663,152368585.0,5,0.8683391331743957,-0.2416387719378869,-0.8511866004297234,77368585.0,1.0315811333333331,0.019723865877712,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2781053287627755,520000000.0,7,0.8683391331743957,1.7937808557506096,1.8896535187441879,420000000.0,4.2,0.0611439842209073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1.3485351285598477,62548947.0,9,-0.25037999545519424,0.3237555690866955,-0.9126017974751334,58843409.0,15.879855772630048,0.0512820512820512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
