Budget,Gross,Release Date,Runtime,Rating,Rating Count,Net Profit,ROI,MPAA Rating_G,MPAA Rating_PG,MPAA Rating_PG-13,MPAA Rating_R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_Thriller,Genre_War,Genre_Western
31000000.0,231605150.0,5,100.0,6.4,80510.0,200605150.0,6.4711338709677415,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31000000.0,134095253.0,12,157.0,8.0,238212.0,103095253.0,3.3256533225806453,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35000000.0,321731527.0,5,118.0,6.7,148440.0,286731527.0,8.192329342857143,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35000000.0,156563139.0,10,103.0,6.5,71962.0,121563139.0,3.4732325428571427,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000000.0,70100000.0,6,117.0,5.5,24114.0,30100000.0,0.7525,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40000000.0,107458785.0,7,128.0,7.2,85932.0,67458785.0,1.686469625,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40000000.0,75505856.0,9,112.0,7.7,139000.0,35505856.0,0.8876464,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000000.0,215900000.0,11,128.0,7.4,177678.0,175900000.0,4.3975,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40000000.0,243240178.0,12,138.0,7.7,218747.0,203240178.0,5.08100445,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45000000.0,178051587.0,6,117.0,6.9,95783.0,133051587.0,2.956701933333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49000000.0,352927224.0,3,127.0,6.9,159658.0,303927224.0,6.202596408163266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80000000.0,280000000.0,6,126.0,7.0,258216.0,200000000.0,2.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000000.0,154864401.0,9,98.0,6.9,85604.0,140864401.0,10.061742928571428,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14600000.0,70906973.0,2,101.0,8.0,549538.0,56306973.0,3.8566419863013697,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000000.0,153698625.0,7,112.0,5.9,64130.0,133698625.0,6.68493125,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21000000.0,227799884.0,6,105.0,6.8,147908.0,206799884.0,9.847613523809525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22000000.0,321365567.0,11,195.0,8.9,1117322.0,299365567.0,13.607525772727271,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25000000.0,441286195.0,11,125.0,7.0,226146.0,416286195.0,16.6514478,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25000000.0,56505065.0,12,130.0,7.8,117576.0,31505065.0,1.2602026,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
